Person_ID,True_Label,Predicted_Label,Correct
P03746,Excellent,Excellent,1
P00293,Average,Average,1
P02527,Excellent,Excellent,1
P04645,Good,Good,1
P07101,Excellent,Excellent,1
P02835,Good,Good,1
P09267,Good,Good,1
P06006,Average,Average,1
P02431,Average,Average,1
P05011,Average,Average,1
P02899,Average,Average,1
P03971,Average,Average,1
P04494,Good,Good,1
P04721,Good,Good,1
P08759,Good,Good,1
P00175,Good,Good,1
P03408,Average,Average,1
P02146,Good,Good,1
P08750,Good,Good,1
P06220,Excellent,Excellent,1
P02988,Good,Good,1
P03501,Good,Good,1
P05004,Good,Good,1
P08616,Average,Average,1
P07513,Average,Average,1
P00617,Excellent,Excellent,1
P05491,Average,Average,1
P03910,Excellent,Excellent,1
P05090,Excellent,Excellent,1
P09566,Good,Good,1
P06820,Good,Good,1
P06455,Excellent,Excellent,1
P01626,Good,Good,1
P06644,Average,Average,1
P03476,Excellent,Excellent,1
P02685,Average,Average,1
P02455,Good,Good,1
P08385,Excellent,Excellent,1
P06375,Excellent,Excellent,1
P07987,Average,Average,1
P09397,Average,Average,1
P05949,Average,Average,1
P04554,Excellent,Excellent,1
P02847,Excellent,Excellent,1
P02121,Good,Good,1
P01746,Good,Good,1
P08257,Good,Good,1
P04044,Average,Average,1
P09578,Excellent,Excellent,1
P01951,Average,Average,1
P03811,Good,Good,1
P07299,Good,Good,1
P07384,Excellent,Excellent,1
P03559,Average,Average,1
P09473,Good,Good,1
P06772,Average,Average,1
P08527,Excellent,Excellent,1
P05259,Excellent,Excellent,1
P01321,Good,Good,1
P04086,Good,Good,1
P07167,Excellent,Excellent,1
P00733,Good,Good,1
P02650,Good,Good,1
P01012,Good,Good,1
P08864,Good,Excellent,0
P05285,Excellent,Excellent,1
P04427,Good,Good,1
P04065,Excellent,Excellent,1
P09712,Good,Good,1
P09077,Good,Good,1
P01316,Excellent,Excellent,1
P04733,Good,Good,1
P08651,Excellent,Excellent,1
P07397,Excellent,Excellent,1
P07949,Good,Good,1
P02908,Excellent,Excellent,1
P03578,Average,Average,1
P06336,Excellent,Excellent,1
P08155,Excellent,Excellent,1
P08963,Excellent,Excellent,1
P06211,Average,Average,1
P01277,Excellent,Excellent,1
P01124,Good,Good,1
P03060,Good,Good,1
P03706,Good,Good,1
P04956,Average,Average,1
P04815,Excellent,Excellent,1
P00927,Excellent,Excellent,1
P00222,Average,Average,1
P01393,Excellent,Excellent,1
P00827,Good,Good,1
P06005,Good,Good,1
P07154,Average,Average,1
P05677,Good,Good,1
P07699,Good,Good,1
P08333,Good,Good,1
P01388,Good,Good,1
P05346,Good,Good,1
P00478,Good,Good,1
P02216,Excellent,Excellent,1
P07090,Good,Good,1
P00368,Good,Good,1
P02324,Average,Average,1
P04180,Average,Average,1
P02544,Average,Average,1
P09227,Good,Good,1
P00463,Excellent,Excellent,1
P05433,Excellent,Excellent,1
P03854,Average,Average,1
P06279,Average,Average,1
P03335,Good,Good,1
P00421,Excellent,Excellent,1
P08676,Excellent,Excellent,1
P00560,Excellent,Excellent,1
P02629,Good,Good,1
P03764,Poor,Poor,1
P00466,Excellent,Excellent,1
P02038,Good,Good,1
P04366,Average,Average,1
P02626,Good,Good,1
P00986,Excellent,Excellent,1
P06305,Average,Average,1
P05540,Average,Average,1
P00880,Average,Average,1
P02162,Excellent,Excellent,1
P03921,Excellent,Excellent,1
P08330,Poor,Poor,1
P08268,Good,Good,1
P04171,Excellent,Excellent,1
P00833,Excellent,Excellent,1
P06439,Good,Good,1
P05078,Good,Good,1
P09800,Good,Good,1
P01077,Average,Average,1
P06204,Excellent,Excellent,1
P09782,Excellent,Excellent,1
P06611,Excellent,Excellent,1
P02620,Good,Good,1
P09199,Average,Average,1
P03485,Average,Average,1
P01209,Average,Average,1
P09237,Average,Average,1
P07049,Good,Good,1
P03331,Good,Good,1
P05524,Good,Good,1
P09461,Average,Average,1
P03000,Excellent,Excellent,1
P05640,Average,Average,1
P02928,Good,Good,1
P07756,Excellent,Excellent,1
P02745,Good,Good,1
P01233,Excellent,Excellent,1
P03359,Average,Average,1
P08870,Good,Good,1
P07283,Good,Good,1
P09808,Average,Average,1
P08019,Excellent,Excellent,1
P08606,Excellent,Excellent,1
P02199,Excellent,Excellent,1
P01781,Good,Good,1
P07798,Average,Average,1
P02520,Good,Good,1
P01200,Good,Good,1
P02452,Good,Good,1
P03490,Good,Good,1
P07660,Excellent,Excellent,1
P00991,Excellent,Excellent,1
P06852,Good,Good,1
P06558,Average,Average,1
P09981,Excellent,Excellent,1
P03054,Average,Average,1
P07991,Good,Good,1
P01981,Good,Good,1
P05745,Good,Good,1
P08847,Good,Good,1
P03681,Average,Average,1
P02148,Good,Good,1
P05366,Good,Good,1
P03547,Good,Good,1
P02831,Average,Average,1
P07888,Excellent,Excellent,1
P01438,Average,Average,1
P02588,Good,Good,1
P01910,Excellent,Excellent,1
P03565,Excellent,Excellent,1
P01748,Excellent,Excellent,1
P01047,Good,Good,1
P09524,Good,Good,1
P00645,Good,Good,1
P05254,Average,Average,1
P03425,Excellent,Excellent,1
P06917,Good,Good,1
P08080,Excellent,Excellent,1
P05742,Good,Good,1
P02946,Good,Good,1
P01565,Good,Good,1
P00777,Excellent,Excellent,1
P07219,Excellent,Excellent,1
P06928,Excellent,Excellent,1
P07218,Excellent,Excellent,1
P02843,Average,Average,1
P06088,Excellent,Excellent,1
P08733,Good,Good,1
P06316,Average,Average,1
P05337,Excellent,Excellent,1
P05958,Excellent,Excellent,1
P07867,Good,Good,1
P03670,Average,Average,1
P04031,Good,Good,1
P04923,Excellent,Excellent,1
P06398,Excellent,Excellent,1
P04831,Poor,Poor,1
P07065,Good,Good,1
P07224,Excellent,Excellent,1
P04759,Good,Good,1
P04652,Excellent,Excellent,1
P00738,Excellent,Excellent,1
P04267,Good,Good,1
P02228,Excellent,Excellent,1
P07403,Excellent,Excellent,1
P03237,Good,Good,1
P02358,Excellent,Excellent,1
P00400,Excellent,Excellent,1
P05523,Average,Average,1
P02563,Good,Good,1
P00487,Average,Average,1
P06513,Excellent,Excellent,1
P01119,Average,Average,1
P06902,Excellent,Excellent,1
P02346,Excellent,Excellent,1
P09467,Good,Good,1
P07789,Excellent,Excellent,1
P05133,Good,Good,1
P01675,Good,Good,1
P07569,Average,Average,1
P00534,Good,Good,1
P00658,Good,Good,1
P06546,Excellent,Excellent,1
P04296,Good,Good,1
P01102,Good,Good,1
P05577,Good,Good,1
P02921,Poor,Poor,1
P01281,Good,Good,1
P00351,Excellent,Excellent,1
P00846,Good,Good,1
P02438,Good,Good,1
P04671,Average,Average,1
P07124,Good,Good,1
P08575,Good,Good,1
P02765,Good,Good,1
P04186,Good,Good,1
P02601,Excellent,Excellent,1
P03876,Excellent,Excellent,1
P08819,Good,Good,1
P03063,Good,Good,1
P01738,Good,Good,1
P09974,Good,Good,1
P06780,Average,Average,1
P06762,Average,Average,1
P06134,Excellent,Excellent,1
P03815,Good,Good,1
P05735,Good,Good,1
P07265,Good,Good,1
P01282,Good,Good,1
P04473,Average,Average,1
P03489,Good,Good,1
P05350,Average,Average,1
P09259,Average,Average,1
P09070,Good,Good,1
P07952,Good,Good,1
P04839,Average,Average,1
P01811,Average,Average,1
P09976,Excellent,Excellent,1
P09862,Excellent,Excellent,1
P02573,Average,Average,1
P09971,Excellent,Excellent,1
P05600,Good,Good,1
P03036,Excellent,Excellent,1
P02427,Good,Good,1
P02071,Excellent,Excellent,1
P02239,Average,Average,1
P04313,Average,Average,1
P03064,Good,Good,1
P04555,Excellent,Excellent,1
P02920,Good,Good,1
P01161,Good,Good,1
P07998,Excellent,Excellent,1
P09590,Good,Good,1
P08530,Average,Average,1
P08887,Excellent,Excellent,1
P05158,Excellent,Excellent,1
P08778,Average,Average,1
P03459,Good,Good,1
P07671,Average,Average,1
P09201,Good,Good,1
P09964,Good,Good,1
P03227,Excellent,Excellent,1
P01931,Good,Good,1
P05764,Average,Average,1
P05927,Excellent,Excellent,1
P00690,Excellent,Excellent,1
P00693,Good,Good,1
P00042,Good,Good,1
P03129,Good,Good,1
P09038,Excellent,Excellent,1
P01636,Excellent,Excellent,1
P07157,Good,Good,1
P04557,Excellent,Excellent,1
P04471,Average,Average,1
P02772,Average,Average,1
P00217,Excellent,Excellent,1
P04712,Average,Average,1
P06658,Excellent,Excellent,1
P01647,Good,Good,1
P05052,Excellent,Excellent,1
P03935,Good,Good,1
P07252,Good,Good,1
P04745,Good,Good,1
P06512,Good,Good,1
P09900,Good,Good,1
P06356,Excellent,Excellent,1
P07141,Average,Average,1
P02265,Average,Average,1
P00333,Excellent,Excellent,1
P03539,Average,Average,1
P05770,Good,Good,1
P07738,Good,Good,1
P05307,Average,Average,1
P09809,Excellent,Excellent,1
P01950,Good,Good,1
P02292,Good,Good,1
P08834,Good,Good,1
P00230,Good,Good,1
P05760,Good,Good,1
P03434,Average,Average,1
P02294,Average,Average,1
P07549,Good,Good,1
P06721,Average,Average,1
P01232,Good,Good,1
P06125,Average,Average,1
P08714,Average,Average,1
P05250,Excellent,Excellent,1
P04713,Excellent,Excellent,1
P03886,Excellent,Excellent,1
P06353,Good,Good,1
P08072,Good,Good,1
P07825,Good,Good,1
P05100,Average,Average,1
P04629,Good,Good,1
P01013,Good,Excellent,0
P05160,Good,Good,1
P05908,Excellent,Excellent,1
P03393,Average,Average,1
P02177,Average,Average,1
P09599,Excellent,Excellent,1
P00640,Good,Good,1
P03519,Excellent,Excellent,1
P03720,Good,Good,1
P02271,Good,Good,1
P04256,Good,Good,1
P06753,Good,Good,1
P09297,Good,Good,1
P09956,Excellent,Excellent,1
P00699,Good,Good,1
P08158,Excellent,Excellent,1
P01147,Excellent,Excellent,1
P09359,Average,Average,1
P00244,Excellent,Excellent,1
P02396,Excellent,Excellent,1
P00442,Excellent,Excellent,1
P06267,Good,Good,1
P03874,Excellent,Excellent,1
P04125,Average,Average,1
P08643,Average,Average,1
P00595,Good,Good,1
P02657,Excellent,Excellent,1
