Person_ID,True_Label,Predicted_Label,Correct
P01192,Yes,Yes,1
P00066,Yes,Yes,1
P02211,No,No,1
P07013,No,No,1
P08540,Yes,Yes,1
P04006,Yes,Yes,1
P03173,Yes,Yes,1
P08981,No,No,1
P07087,Yes,Yes,1
P09801,No,No,1
P07728,No,No,1
P00537,No,No,1
P05246,No,No,1
P02254,Yes,Yes,1
P07408,Yes,Yes,1
P07368,No,No,1
P07461,No,No,1
P09482,Yes,Yes,1
P05450,Yes,Yes,1
P01810,No,No,1
P06479,No,No,1
P04947,Yes,Yes,1
P09373,Yes,Yes,1
P07768,Yes,Yes,1
P07515,Yes,Yes,1
P08581,Yes,Yes,1
P09969,No,No,1
P05959,Yes,Yes,1
P09652,No,No,1
P04561,Yes,Yes,1
P01231,Yes,Yes,1
P04349,No,No,1
P06930,No,No,1
P07698,Yes,Yes,1
P04430,No,No,1
P03277,No,No,1
P03089,Yes,Yes,1
P03604,No,No,1
P05778,No,No,1
P05327,Yes,Yes,1
P05801,Yes,Yes,1
P06753,No,No,1
P01280,No,No,1
P06066,Yes,Yes,1
P02336,No,No,1
P00144,Yes,Yes,1
P09148,Yes,Yes,1
P08879,Yes,Yes,1
P05762,Yes,Yes,1
P07161,No,No,1
P01845,Yes,Yes,1
P08183,No,No,1
P03139,Yes,Yes,1
P04794,No,No,1
P03856,No,No,1
P01139,Yes,Yes,1
P06000,Yes,Yes,1
P08869,No,No,1
P09540,Yes,Yes,1
P00291,No,No,1
P06921,Yes,Yes,1
P04139,No,No,1
P02049,Yes,Yes,1
P04805,No,No,1
P09145,No,No,1
P09813,No,No,1
P00113,No,No,1
P09150,Yes,Yes,1
P09692,No,No,1
P06405,No,No,1
P09883,No,No,1
P01252,No,No,1
P07111,Yes,Yes,1
P07487,Yes,Yes,1
P04964,No,No,1
P05048,No,No,1
P09633,No,No,1
P09612,No,No,1
P00340,No,No,1
P02983,No,No,1
P00188,No,No,1
P01960,No,No,1
P08334,Yes,Yes,1
P06656,Yes,Yes,1
P07055,No,No,1
P05286,Yes,Yes,1
P03208,Yes,Yes,1
P07079,No,No,1
P07890,No,No,1
P01313,Yes,Yes,1
P09330,Yes,Yes,1
P03209,Yes,Yes,1
P07547,Yes,Yes,1
P00418,No,No,1
P01018,Yes,Yes,1
P00092,No,No,1
P09351,No,No,1
P09874,No,No,1
P06899,No,No,1
P04731,Yes,Yes,1
